"timestamp","most_granular_identity","identities","internal_ip","external_ip","action","query_type","response_code","domain","categories","most_granular_identity_type","identity_types","blocked_categories","rule_id","destination_countries","organization_id"
"2026-04-14 08:26:29","heidi@acme.corp","heidi@acme.corp,HQ-Network","10.0.2.10","203.0.113.1","Allowed","1 (A)","NOERROR","api.mistral.ai.","Generative AI","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:27:55","bob@acme.corp","bob@acme.corp,HQ-Network","10.0.1.50","203.0.113.1","Allowed","1 (A)","NOERROR","claude.ai.","Generative AI","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:29:02","ivan@acme.corp","ivan@acme.corp,HQ-Network","10.0.2.21","203.0.113.1","Allowed","1 (A)","NOERROR","api.cohere.ai.","Generative AI","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:30:11","HQ-Network","HQ-Network","10.0.2.32","203.0.113.1","Blocked","1 (A)","NXDOMAIN","poe.com.","Generative AI,Uncategorized","Network","Network","","101","US","9999"
"2026-04-14 08:31:48","alice@acme.corp","alice@acme.corp,HQ-Network","10.0.1.42","203.0.113.1","Allowed","1 (A)","NOERROR","chat.openai.com.","Generative AI","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:33:27","judy@acme.corp","judy@acme.corp,HQ-Network","10.0.2.43","203.0.113.1","Allowed","1 (A)","NOERROR","you.com.","Generative AI,Search Engines","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:34:15","mallory@acme.corp","mallory@acme.corp,HQ-Network","10.0.2.54","203.0.113.1","Blocked","1 (A)","NXDOMAIN","openrouter.ai.","Generative AI,Business Services","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:35:42","alice@acme.corp","alice@acme.corp,HQ-Network","10.0.1.42","203.0.113.1","Allowed","1 (A)","NOERROR","platform.openai.com.","Generative AI,Business Services","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:37:09","niaj@acme.corp","niaj@acme.corp,HQ-Network","10.0.2.65","203.0.113.1","Allowed","1 (A)","NOERROR","gemini.google.com.","Generative AI","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:38:52","olivia@acme.corp","olivia@acme.corp,HQ-Network","10.0.2.76","203.0.113.1","Allowed","1 (A)","NOERROR","chat.mistral.ai.","Generative AI","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:40:11","bob@acme.corp","bob@acme.corp,HQ-Network","10.0.1.50","203.0.113.1","Allowed","1 (A)","NOERROR","api.anthropic.com.","Generative AI","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:41:44","alice@acme.corp","alice@acme.corp,HQ-Network","10.0.1.42","203.0.113.1","Allowed","1 (A)","NOERROR","platform.openai.com.","Generative AI,Business Services","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:42:10","IoT-Sensor-01","IoT-Sensor-01,IoT-Network","10.0.3.5","203.0.113.3","Allowed","1 (A)","NOERROR","time.google.com.","Software/Technology","Device","Device,Network","","101","US","9999"
"2026-04-14 08:43:00","peggy@acme.corp","peggy@acme.corp,HQ-Network","10.0.1.101","203.0.113.1","Allowed","1 (A)","NOERROR","github.com.","Software/Technology","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:44:30","peggy@acme.corp","peggy@acme.corp,HQ-Network","10.0.1.101","203.0.113.1","Allowed","1 (A)","NOERROR","api.github.com.","Software/Technology","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:45:12","alice@acme.corp","alice@acme.corp,HQ-Network","10.0.1.42","203.0.113.1","Blocked","1 (A)","NXDOMAIN","character.ai.","Generative AI,Uncategorized","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:46:20","trent@acme.corp","trent@acme.corp,HQ-Network","10.0.2.87","203.0.113.1","Allowed","1 (A)","NOERROR","api.replicate.com.","Generative AI,Software/Technology","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:47:05","ursula@acme.corp","ursula@acme.corp,HQ-Network","10.0.2.98","203.0.113.1","Allowed","1 (A)","NOERROR","bard.google.com.","Generative AI","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:48:55","victor@acme.corp","victor@acme.corp,HQ-Network","10.0.3.10","203.0.113.1","Allowed","1 (A)","NOERROR","chat.deepseek.com.","Generative AI","AD User","AD User,Network","","101","US","9999"
